Train Size,Dataset,Level,Taxon,Training_Leaves_Count,Model_Path,Accuracy,Cross_Val_Accuracy,AUROC,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Average_Precision,Order
10,focal,Order,Kilijvirales,10,models/Order_bg/Kilijvirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Mambelevirales,10,models/Order_bg/Mambelevirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Mesyanzhinovvirales_1,10,models/Order_bg/Mesyanzhinovvirales_1.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Orlajensenvirales,10,models/Order_bg/Orlajensenvirales.pkl,1.0,0.9966666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Pantevenvirales,10,models/Order_bg/Pantevenvirales.pkl,0.9272959183673468,0.9883333333333332,1.0,0.9226594301221168,1.0,0.9597741707833451,1.0,0.4519230769230769,0.6225165562913908,1.0,
10,focal,Order,Peduovirales,10,models/Order_bg/Peduovirales.pkl,0.9834183673469388,0.99,0.9989723320158104,0.983160621761658,1.0,0.991508817766166,1.0,0.48,0.6486486486486487,0.9762707986432316,
10,focal,Order,Pigervirales,10,models/Order_bg/Pigervirales.pkl,0.9974489795918368,0.99,0.9846153846153848,0.9974424552429668,1.0,0.998719590268886,1.0,0.5,0.6666666666666666,0.7635135135135135,
10,focal,Order,Pilumvirales,10,models/Order_bg/Pilumvirales.pkl,0.9834183673469388,0.9916666666666668,0.9939144736842104,0.9831824062095732,1.0,0.9915198956294846,1.0,0.4583333333333333,0.6285714285714286,0.9368686868686869,
10,focal,Order,Pungovirales,10,models/Order_bg/Pungovirales.pkl,0.9987244897959184,0.9833333333333332,0.9997432605905006,0.9987179487179488,1.0,0.9993585631815266,1.0,0.8,0.888888888888889,0.9666666666666668,
10,focal,Order,Rountreevirales_1,10,models/Order_bg/Rountreevirales.pkl,0.9974489795918368,0.97,1.0,1.0,0.9974160206718348,0.998706338939198,0.8333333333333334,1.0,0.9090909090909092,1.0,Rountreevirales_1
10,focal,Order,Rountreevirales_2,10,models/Order_bg/Rountreevirales_2.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Salasmavirales,10,models/Order_bg/Salasmavirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Schitovirales,10,models/Order_bg/Schitovirales.pkl,0.9948979591836736,0.9966666666666668,1.0,0.9947848761408083,1.0,0.9973856209150326,1.0,0.8095238095238095,0.8947368421052632,1.0000000000000002,
10,focal,Order,Shotelvirales,10,models/Order_bg/Shotelvirales.pkl,0.9987244897959184,1.0,0.9997432605905008,0.9987179487179488,1.0,0.9993585631815266,1.0,0.8,0.888888888888889,0.9666666666666666,
10,focal,Order,Stanwilliamsvirales,10,models/Order_bg/Stanwilliamsvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Uluvirales,10,models/Order_bg/Uluvirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Vilmavirales,10,models/Order_bg/Vilmavirales.pkl,0.9910714285714286,0.9916666666666668,0.9998503442083208,0.9910025706940874,1.0,0.9954809554551324,1.0,0.4615384615384615,0.631578947368421,0.9897435897435896,
10,focal,Order,Xiphosvirales,10,models/Order_bg/Xiphosvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Falchionvirales,10,models/Order_bg/Falchionvirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Ekuvirales,10,models/Order_bg/Ekuvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Dynamitevirales,10,models/Order_bg/Dynamitevirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Catapultvirales,10,models/Order_bg/Catapultvirales.pkl,0.9974489795918368,0.9933333333333334,0.9997857754927164,0.9974358974358974,1.0,0.9987163029525032,1.0,0.6666666666666666,0.8,0.976190476190476,
10,focal,Order,Arbalestvirales,10,models/Order_bg/Arbalestvirales.pkl,0.9834183673469388,0.995,1.0,0.9829842931937172,1.0,0.9914191419141912,1.0,0.6060606060606061,0.7547169811320755,1.0,
10,focal,Order,Arquebusvirales,10,models/Order_bg/Arquebusvirales.pkl,0.965561224489796,0.9916666666666666,1.0,0.9645669291338582,1.0,0.9819639278557112,1.0,0.4489795918367347,0.6197183098591549,1.0,
10,focal,Order,Atlatlvirales,10,models/Order_bg/Atlatlvirales.pkl,0.9987244897959184,1.0,1.0,0.9987046632124352,1.0,0.9993519118600128,1.0,0.9230769230769232,0.96,0.9999999999999998,
10,focal,Order,Autographivirales,10,models/Order_bg/Autographivirales.pkl,0.9489795918367347,0.9916666666666668,0.9997559538836992,0.945872801082544,1.0,0.9721835883171072,1.0,0.5294117647058824,0.6923076923076924,0.997732716022352,
10,focal,Order,Ballistavirales,10,models/Order_bg/Ballistavirales.pkl,0.985969387755102,0.995,1.0,0.9857881136950905,1.0,0.9928432010409888,1.0,0.4761904761904761,0.6451612903225806,1.0,
10,focal,Order,Bardichevirales,10,models/Order_bg/Bardichevirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,
10,focal,Order,Blunderbussvirales,10,models/Order_bg/Blunderbussvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Bo-Shurikenvirales,10,models/Order_bg/Bo-Shurikenvirales.pkl,0.9987244897959184,0.9916666666666668,0.9991431019708654,0.9987163029525032,1.0,0.9993577392421324,1.0,0.8333333333333334,0.9090909090909092,0.9333333333333332,
10,focal,Order,Bolasvirales,10,models/Order_bg/Bolasvirales.pkl,0.9987244897959184,1.0,1.0,0.9987146529562982,1.0,0.9993569131832798,1.0,0.8571428571428571,0.923076923076923,1.0,
10,focal,Order,Bombardvirales,10,models/Order_bg/Bombardvirales.pkl,0.9897959183673468,0.99,0.9973098330241188,0.9897172236503856,1.0,0.9948320413436692,1.0,0.4285714285714285,0.6,0.9238095238095236,
10,focal,Order,Bowievirales,10,models/Order_bg/Bowievirales.pkl,0.9961734693877552,0.9916666666666668,1.0,0.9961340206185568,1.0,0.9980632666236282,1.0,0.7272727272727273,0.8421052631578948,1.0,
10,focal,Order,Casjensvirales,10,models/Order_bg/Casjensvirales.pkl,0.9961734693877552,0.9933333333333334,1.0,0.996138996138996,1.0,0.9980657640232108,1.0,0.7,0.8235294117647058,1.0,
10,focal,Order,Chakramvirales,10,models/Order_bg/Chakramvirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Durandalvirales,10,models/Order_bg/Durandalvirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Chakrivirales,10,models/Order_bg/Chakrivirales.pkl,0.9987244897959184,1.0,0.9995731967562954,0.9987212276214834,1.0,0.999360204734485,1.0,0.6666666666666666,0.8,0.9166666666666666,
10,focal,Order,Chasevirales,10,models/Order_bg/Chasevirales.pkl,1.0,0.9966666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Chimallivirales,10,models/Order_bg/Chimallivirales.pkl,0.9987244897959184,0.9983333333333334,0.9995698924731182,1.0,0.9987096774193548,0.999354422207876,0.9,1.0,0.9473684210526316,0.963888888888889,
10,focal,Order,Chukonuvirales,10,models/Order_bg/Chukonuvirales.pkl,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Crassvirales,10,models/Order_bg/Crassvirales.pkl,0.9885204081632653,0.9933333333333334,1.0,0.988431876606684,1.0,0.9941822882999354,1.0,0.4,0.5714285714285715,1.0,
10,focal,Order,Crossbowvirales,10,models/Order_bg/Crossbowvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Culverinvirales,10,models/Order_bg/Culverinvirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Cutlassvirales,10,models/Order_bg/Cutlassvirales.pkl,0.9987244897959184,0.9983333333333334,1.0,0.9987179487179488,1.0,0.9993585631815266,1.0,0.8,0.888888888888889,1.0,
10,focal,Order,Daovirales,10,models/Order_bg/Daovirales.pkl,0.9961734693877552,0.9933333333333334,1.0,0.9961587708066582,1.0,0.99807568954458,1.0,0.5,0.6666666666666666,1.0,
10,focal,Order,Derringervirales,10,models/Order_bg/Derringervirales.pkl,0.9987244897959184,0.995,1.0,0.998719590268886,1.0,0.9993593850096092,1.0,0.75,0.8571428571428571,1.0,
10,focal,Order,Dirkvirales,10,models/Order_bg/Dirkvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,focal,Order,Drexlervirales,10,models/Order_bg/Drexlervirales.pkl,0.9974489795918368,0.9966666666666668,1.0,0.997364953886693,1.0,0.9986807387862796,1.0,0.925925925925926,0.9615384615384616,0.9999999999999998,
10,focal,Order,Zierdtvirales,10,models/Order_bg/Zierdtvirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25,focal,Order,Aliceevansvirales,25,models/Order_bg/Aliceevansvirales.pkl,0.9948979591836736,0.995,0.999602122015915,0.9947229551451188,1.0,0.9973544973544972,1.0,0.8666666666666667,0.9285714285714286,0.9916666666666666,
25,focal,Order,Arbalestvirales,25,models/Order_bg/Arbalestvirales.pkl,0.9948979591836736,0.9933333333333334,1.0,0.9947019867549668,1.0,0.99734395750332,1.0,0.8787878787878788,0.935483870967742,1.0,
25,focal,Order,Schitovirales,25,models/Order_bg/Schitovirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25,focal,Order,Rountreevirales_1,25,models/Order_bg/Rountreevirales.pkl,0.9897959183673468,0.9983333333333334,0.9997416020671837,1.0,0.9896640826873384,0.9948051948051948,0.5555555555555556,1.0,0.7142857142857143,0.9833333333333332,Rountreevirales_1
25,focal,Order,Pilumvirales,25,models/Order_bg/Pilumvirales.pkl,0.9897959183673468,0.9933333333333334,0.997313596491228,0.9895833333333334,1.0,0.9947643979057592,1.0,0.6666666666666666,0.8,0.955128205128205,
25,focal,Order,Peduovirales,25,models/Order_bg/Peduovirales.pkl,0.9948979591836736,0.9933333333333334,0.9997364953886692,0.9947575360419396,1.0,0.997371879106439,1.0,0.84,0.9130434782608696,0.9924476190476192,
25,focal,Order,Pantevenvirales,25,models/Order_bg/Pantevenvirales.pkl,0.9438775510204082,0.9883333333333332,1.0,0.9392265193370166,1.0,0.9686609686609688,1.0,0.5769230769230769,0.7317073170731707,1.0,
25,focal,Order,Mambelevirales,25,models/Order_bg/Mambelevirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25,focal,Order,Herellevirales,25,models/Order_bg/Herellevirales.pkl,1.0,0.9966666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25,focal,Order,Drexlervirales,25,models/Order_bg/Drexlervirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25,focal,Order,Daovirales,25,models/Order_bg/Daovirales.pkl,1.0,0.9916666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25,focal,Order,Crassvirales,25,models/Order_bg/Crassvirales.pkl,0.9923469387755102,0.9966666666666668,1.0,0.9922580645161292,1.0,0.9961139896373058,1.0,0.6,0.7499999999999999,1.0,
25,focal,Order,Chimallivirales,25,models/Order_bg/Chimallivirales.pkl,0.9987244897959184,1.0,0.999068100358423,1.0,0.9987096774193548,0.999354422207876,0.9,1.0,0.9473684210526316,0.8819664902998237,
25,focal,Order,Casjensvirales,25,models/Order_bg/Casjensvirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25,focal,Order,Bowievirales,25,models/Order_bg/Bowievirales.pkl,0.9987244897959184,0.9983333333333334,0.999588380571563,0.9987080103359172,1.0,0.9993535875888816,1.0,0.9090909090909092,0.9523809523809524,0.9757575757575758,
25,focal,Order,Bombardvirales,25,models/Order_bg/Bombardvirales.pkl,0.9948979591836736,0.9916666666666668,1.0,0.9948320413436692,1.0,0.9974093264248703,1.0,0.7142857142857143,0.8333333333333333,1.0,
25,focal,Order,Bolasvirales,25,models/Order_bg/Bolasvirales.pkl,0.9987244897959184,1.0,1.0,0.9987146529562982,1.0,0.9993569131832798,1.0,0.8571428571428571,0.923076923076923,1.0,
25,focal,Order,Blunderbussvirales,25,models/Order_bg/Blunderbussvirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25,focal,Order,Bardichevirales,25,models/Order_bg/Bardichevirales.pkl,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25,focal,Order,Ballistavirales,25,models/Order_bg/Ballistavirales.pkl,0.9974489795918368,1.0,1.0,0.9973856209150328,1.0,0.9986910994764396,1.0,0.9047619047619048,0.95,1.0,
25,focal,Order,Autographivirales,25,models/Order_bg/Autographivirales.pkl,0.9872448979591836,0.9966666666666668,1.0,0.9858956276445698,1.0,0.9928977272727272,1.0,0.8823529411764706,0.9375,1.0,
25,focal,Order,Atlatlvirales,25,models/Order_bg/Atlatlvirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25,focal,Order,Arquebusvirales,25,models/Order_bg/Arquebusvirales.pkl,0.9974489795918368,1.0,1.0,0.9972862957937584,1.0,0.998641304347826,1.0,0.9591836734693876,0.9791666666666666,1.0,
25,focal,Order,Vilmavirales,25,models/Order_bg/Vilmavirales.pkl,0.9948979591836736,0.9833333333333334,1.0,0.9948387096774194,1.0,0.9974126778783958,1.0,0.6923076923076923,0.8181818181818181,0.9999999999999998,
50,focal,Order,Aliceevansvirales,50,models/Order_bg/Aliceevansvirales.pkl,0.9987244897959184,0.9946666666666668,1.0,0.9986754966887416,1.0,0.9993373094764744,1.0,0.9666666666666668,0.983050847457627,1.0,
50,focal,Order,Arbalestvirales,50,models/Order_bg/Arbalestvirales.pkl,0.9974489795918368,0.9973333333333332,1.0,0.99734395750332,1.0,0.9986702127659576,1.0,0.9393939393939394,0.96875,0.9999999999999998,
50,focal,Order,Arquebusvirales,50,models/Order_bg/Arquebusvirales.pkl,0.9987244897959184,1.0,0.999500208246564,0.998641304347826,1.0,0.9993201903467028,1.0,0.979591836734694,0.9896907216494846,0.9940845903578824,
50,focal,Order,Autographivirales,50,models/Order_bg/Autographivirales.pkl,0.9987244897959184,0.9986666666666666,1.0,0.9985714285714286,1.0,0.9992852037169406,1.0,0.9882352941176472,0.9940828402366864,1.0,
50,focal,Order,Ballistavirales,50,models/Order_bg/Ballistavirales.pkl,0.9987244897959184,1.0,1.0,0.9986910994764396,1.0,0.9993451211525868,1.0,0.9523809523809524,0.975609756097561,1.0,
50,focal,Order,Bombardvirales,50,models/Order_bg/Bombardvirales.pkl,0.9974489795918368,0.9853333333333334,1.0,0.9974093264248703,1.0,0.9987029831387808,1.0,0.8571428571428571,0.923076923076923,1.0,
50,focal,Order,Crassvirales,50,models/Order_bg/Crassvirales.pkl,1.0,0.9986666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
50,focal,Order,Drexlervirales,50,models/Order_bg/Drexlervirales.pkl,1.0,0.9986666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
50,focal,Order,Herellevirales,50,models/Order_bg/Herellevirales.pkl,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
50,focal,Order,Mambelevirales,50,models/Order_bg/Mambelevirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
50,focal,Order,Pantevenvirales,50,models/Order_bg/Pantevenvirales.pkl,0.9961734693877552,0.9973333333333332,1.0,0.9956076134699854,1.0,0.9977989728539984,1.0,0.971153846153846,0.9853658536585366,1.0,
50,focal,Order,Peduovirales,50,models/Order_bg/Peduovirales.pkl,0.9974489795918368,0.9986666666666666,0.9997891963109354,0.9973718791064388,1.0,0.9986842105263156,1.0,0.92,0.9583333333333334,0.9941142857142856,
50,focal,Order,Pilumvirales,50,models/Order_bg/Pilumvirales.pkl,0.9974489795918368,0.9946666666666666,0.9921600877192982,0.9973753280839897,1.0,0.9986859395532194,1.0,0.9166666666666666,0.9565217391304348,0.9361209613869188,
50,focal,Order,Schitovirales,50,models/Order_bg/Schitovirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
50,focal,Order,Vilmavirales,50,models/Order_bg/Vilmavirales.pkl,0.9974489795918368,0.9893333333333332,1.0,0.9974126778783958,1.0,0.9987046632124352,1.0,0.8461538461538461,0.9166666666666666,0.9999999999999998,
75,focal,Order,Aliceevansvirales,75,models/Order_bg/Aliceevansvirales.pkl,0.9987244897959184,0.9866666666666668,1.0,0.9986754966887416,1.0,0.9993373094764744,1.0,0.9666666666666668,0.983050847457627,1.0,
75,focal,Order,Arbalestvirales,75,models/Order_bg/Arbalestvirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
75,focal,Order,Arquebusvirales,75,models/Order_bg/Arquebusvirales.pkl,0.9987244897959184,0.9977777777777778,1.0,0.998641304347826,1.0,0.9993201903467028,1.0,0.979591836734694,0.9896907216494846,1.0,
75,focal,Order,Autographivirales,75,models/Order_bg/Autographivirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
75,focal,Order,Ballistavirales,75,models/Order_bg/Ballistavirales.pkl,0.9987244897959184,1.0,1.0,0.9986910994764396,1.0,0.9993451211525868,1.0,0.9523809523809524,0.975609756097561,1.0,
75,focal,Order,Drexlervirales,75,models/Order_bg/Drexlervirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
75,focal,Order,Herellevirales,75,models/Order_bg/Herellevirales.pkl,1.0,0.9988888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
75,focal,Order,Mambelevirales,75,models/Order_bg/Mambelevirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
75,focal,Order,Pantevenvirales,75,models/Order_bg/Pantevenvirales.pkl,0.9961734693877552,0.9966666666666668,0.999964649321267,0.9956076134699854,1.0,0.9977989728539984,1.0,0.971153846153846,0.9853658536585366,0.9997304097771388,
75,focal,Order,Peduovirales,75,models/Order_bg/Peduovirales.pkl,0.9961734693877552,0.9977777777777778,0.9999209486166007,1.0,0.9960474308300395,0.998019801980198,0.8928571428571429,1.0,0.9433962264150944,0.9968615384615384,
75,focal,Order,Pilumvirales,75,models/Order_bg/Pilumvirales.pkl,0.9974489795918368,0.9933333333333334,0.9956962719298246,0.9973753280839897,1.0,0.9986859395532194,1.0,0.9166666666666666,0.9565217391304348,0.9458222860509647,
75,focal,Order,Schitovirales,75,models/Order_bg/Schitovirales.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
100,focal,Order,Aliceevansvirales,100,models/Order_bg/Aliceevansvirales.pkl,0.9910714285714286,0.9985714285714286,0.9998231653404068,1.0,0.9907161803713528,0.995336442371752,0.8108108108108109,1.0,0.8955223880597014,0.996078431372549,
100,focal,Order,Arbalestvirales,100,models/Order_bg/Arbalestvirales.pkl,0.9987244897959184,1.0,1.0,1.0,0.9986684420772304,0.999333777481679,0.9705882352941176,1.0,0.9850746268656716,1.0,
100,focal,Order,Arquebusvirales,100,models/Order_bg/Arquebusvirales.pkl,0.9987244897959184,0.9971428571428572,1.0,0.998641304347826,1.0,0.9993201903467028,1.0,0.979591836734694,0.9896907216494846,1.0,
100,focal,Order,Autographivirales,100,models/Order_bg/Autographivirales.pkl,0.9974489795918368,1.0,1.0,1.0,0.9971387696709584,0.9985673352435528,0.9770114942528736,1.0,0.9883720930232558,1.0,
100,focal,Order,Drexlervirales,100,models/Order_bg/Drexlervirales.pkl,0.9987244897959184,1.0,1.0,1.0,0.998678996036988,0.9993390614672836,0.9642857142857144,1.0,0.9818181818181818,1.0,
100,focal,Order,Pantevenvirales,100,models/Order_bg/Pantevenvirales.pkl,0.9974489795918368,0.9985714285714286,0.9998868778280542,0.998529411764706,0.998529411764706,0.998529411764706,0.9903846153846154,0.9903846153846154,0.9903846153846154,0.9991417172854375,
100,focal,Order,Peduovirales,100,models/Order_bg/Peduovirales.pkl,0.9974489795918368,0.9971428571428572,0.9999472990777338,1.0,0.997364953886693,0.9986807387862796,0.925925925925926,1.0,0.9615384615384616,0.9984615384615384,
